sim_time,vid,latency_s,task_id,action_idx,action_name
74.0,init_30,7.301189792320613,371,2,2
74.0,init_4,6.870014419084707,370,0,0
75.0,init_44,3.732190860000545,376,12,12
75.5,init_42,2.777291216562107,377,14,14
75.0,init_4,3.509179835496067,375,5,5
76.5,init_49,1.393300452736552,379,9,9
76.5,init_17,1.229747924846391,380,0,0
76.5,init_45,5.40042007375663,381,11,11
77.0,init_24,2.2971441658841187,384,6,6
76.5,init_15,5.535314295170333,383,3,3
76.5,init_27,2.5796574346103713,382,8,8
77.5,init_2,3.8596638298598274,386,11,11
77.5,init_48,1.0838760973729227,385,0,0
78.5,init_38,4.91116910421667,387,4,4
78.5,init_23,12.732248725228942,388,16,16
79.0,init_29,2.924149906803024,389,8,8
79.5,init_2,5.164928213642437,391,13,13
80.0,init_15,5.25168317152593,393,14,14
79.5,init_3,2.4129534188112176,390,2,2
79.5,init_13,1.518192162838731,392,6,6
81.0,init_6,3.792730335772177,397,11,11
80.5,init_4,2.7094877598242535,394,8,8
80.5,init_23,3.8482832120139965,395,7,7
81.0,init_33,6.226920026042446,399,0,0
81.0,init_48,6.185269895177526,398,0,0
80.5,init_26,2.9206863670316987,396,12,12
81.0,init_43,2.64014054259487,400,10,10
82.5,init_35,6.004036948371604,403,1,1
83.5,init_44,8.534539282813865,404,12,12
81.5,init_25,8.373952105102237,401,11,11
82.0,init_25,4.303217737767145,402,10,10
84.0,init_30,1.763865324754594,405,16,16
84.0,init_42,4.175445576521128,406,14,14
84.0,init_38,3.3303944398166525,407,7,7
84.0,init_18,1.4516293992526363,408,6,6
84.5,init_39,4.449412351867311,409,10,10
86.0,init_18,7.225368732501357,413,14,14
85.5,init_25,3.6717223139985316,412,6,6
86.5,init_25,5.542391383080563,415,8,8
86.5,init_6,3.4306222069335015,414,11,11
84.5,init_17,1.5979340402399935,410,12,12
85.5,init_28,6.776568293525555,411,3,3
87.0,init_35,3.578788889405029,416,12,12
87.0,init_40,5.517790727004698,417,11,11
87.5,init_1,2.4137862321527397,418,5,5
88.0,init_9,1.0110962464391005,419,0,0
88.0,init_7,7.836632849030422,421,3,3
88.0,init_44,2.63199659919898,422,9,9
89.5,init_29,2.5673529935086163,426,8,8
88.5,init_22,2.4438269813176623,423,12,12
88.0,init_22,8.962405058190644,420,0,0
88.5,init_31,5.175828772861264,424,5,5
88.5,init_26,3.997505749277834,425,7,7
90.5,init_22,3.5929492563600967,427,10,10
90.5,init_14,2.7513841924551357,428,12,12
90.5,init_20,2.5365046605155643,429,7,7
91.0,init_1,1.472789786586108,430,5,5
91.5,init_11,3.045336095936337,432,11,11
91.5,init_28,8.327483297134462,431,1,1
92.0,init_31,3.5264432412897717,435,10,10
92.5,init_48,3.42961549230123,436,8,8
93.0,init_27,1.022573136676501,437,12,12
93.5,init_42,1.0160075561418145,439,0,0
93.0,init_25,8.847094672425504,438,12,12
91.5,init_2,2.585034457928897,433,8,8
92.0,init_20,2.845979796496181,434,7,7
93.5,init_46,3.0363410282610275,440,6,6
93.5,init_8,1.4092783739173194,441,2,2
95.0,init_37,4.092319219215255,444,1,1
95.5,init_25,5.076526481127464,445,10,10
95.0,init_10,4.1160384797056375,443,11,11
95.5,init_33,3.2556224694643507,446,14,14
94.5,init_13,2.1451582061795924,442,12,12
96.0,init_10,4.277618661378866,447,13,13
96.0,init_6,2.7550037703462897,448,11,11
96.5,init_42,2.035282983064325,449,15,15
97.0,init_24,1.66310477394709,452,11,11
96.5,init_49,0.6743810654394823,450,0,0
97.0,init_7,3.626020707721124,451,8,8
97.5,init_12,5.915690068604984,453,1,1
98.0,init_22,6.9397812239055625,456,5,5
97.5,init_14,4.346250875524261,454,12,12
98.5,init_11,10.759927720146454,459,2,2
97.5,init_11,4.695123006988307,455,11,11
98.0,init_28,4.505725964012914,458,12,12
98.0,init_17,3.6624759082766976,457,14,14
98.5,init_40,1.964286131142468,460,6,6
98.5,init_43,2.751671749080808,461,10,10
99.5,init_2,8.13951835923967,466,13,13
99.0,init_26,13.886553999593623,464,4,4
99.0,init_37,6.995582452861121,463,6,6
99.5,init_19,1.9888316408859064,465,8,8
100.0,init_9,4.500478399748794,467,12,12
98.5,init_18,3.9629768624247537,462,6,6
100.0,init_17,2.189656618900431,469,0,0
100.0,init_42,4.09453337636944,468,14,14
101.5,init_5,5.595959229299769,473,0,0
101.0,init_1,2.568040113873403,472,5,5
100.5,init_44,2.1787382896366507,471,9,9
100.5,init_23,2.295928818844058,470,7,7
102.0,init_6,2.5077264072816123,476,16,16
102.5,init_5,5.757696123873367,478,3,3
101.5,init_8,3.831269833202186,474,11,11
102.5,init_39,6.442490886214159,477,7,7
101.5,init_18,2.634072564694225,475,10,10
102.5,init_23,3.87586176959434,479,9,9
103.0,init_4,4.704917696422795,480,9,9
103.0,init_18,1.0107956464302061,482,2,2
103.0,init_6,2.640306703159063,481,10,10
103.5,init_46,3.816051161975062,483,12,12
103.5,init_40,5.913226213077916,484,11,11
104.0,init_6,5.66917120853934,486,11,11
104.0,init_18,3.954980320331494,487,10,10
105.0,init_48,4.260030629000497,488,9,9
103.5,init_8,2.2971416299755893,485,8,8
105.5,init_36,4.1961834934373305,489,4,4
105.5,init_18,3.702847167362904,490,10,10
107.0,init_4,3.283384214616096,495,5,5
106.0,init_45,6.133714852735154,493,11,11
106.0,init_39,2.8645652932329653,491,10,10
107.0,init_42,1.2240375717388292,497,0,0
106.5,init_49,4.631217816339419,494,0,0
107.0,init_30,5.620520348205497,496,8,8
106.0,init_4,4.136713704047999,492,2,2
107.0,init_49,4.172478002300785,498,9,9
107.0,init_33,2.059956373059681,499,12,12
107.5,init_24,3.1746234190909854,500,6,6
107.5,init_26,4.535256285061881,502,7,7
107.5,init_40,5.56163703448934,501,9,9
108.5,init_9,2.9489364739143755,507,5,5
108.0,init_16,5.296835206651828,506,6,6
108.5,init_37,0.7141775804313241,509,0,0
108.5,init_38,11.959726453592786,508,10,10
108.0,init_6,2.9404562833423067,504,16,16
107.5,init_13,1.9854199997260933,503,10,10
108.0,init_11,3.1866352161919895,505,12,12
110.0,init_36,2.457047805317161,514,7,7
109.0,init_7,3.350579775123865,512,8,8
109.5,init_28,3.578139899918079,513,12,12
110.5,init_14,2.826212358198326,516,12,12
109.0,init_49,3.046749843831537,511,0,0
108.5,init_1,1.8460564743849088,510,2,2
111.0,init_38,12.639145188245172,518,10,10
110.0,init_2,2.310077813957422,515,8,8
110.5,init_33,5.571861641807134,517,12,12
111.0,init_25,2.313471948532275,519,7,7
111.5,init_6,13.877982041086161,520,4,4
111.5,init_28,3.215663738800529,521,8,8
111.5,init_18,3.083090449354237,522,10,10
113.0,init_9,10.670572142423207,524,11,11
113.5,init_30,2.3317596902256503,527,7,7
112.5,init_7,2.368203587260717,523,11,11
113.5,init_49,1.5482439754670223,528,9,9
113.0,init_17,3.8532369108502476,525,6,6
113.0,init_28,4.303212773009718,526,5,5
114.0,init_15,5.240003409493915,529,6,6
114.5,init_31,3.9681993060044256,531,10,10
115.0,init_2,3.904158033528364,532,11,11
116.5,init_12,1.0594566439418156,537,0,0
116.5,init_2,5.128937342837386,538,13,13
116.0,init_22,5.087254767591182,535,3,3
114.5,init_36,3.278538300675559,530,8,8
115.5,init_48,2.2477187801230794,534,6,6
116.0,init_31,2.669433237974154,536,10,10
115.5,init_22,1.8691245879385288,533,16,16
117.0,init_12,10.94024430283952,539,1,1
118.0,init_44,14.736713705848263,541,0,0
119.5,init_13,9.128712576720618,545,16,16
118.5,init_33,1.4054274061621124,542,15,15
117.5,init_4,4.820793119277054,540,6,6
119.5,init_49,2.71710451140828,544,5,5
119.0,init_28,5.862267244803201,543,0,0
120.0,init_8,2.936544003013236,546,8,8
121.5,init_39,2.2708213093491496,547,10,10
121.5,init_12,9.823806487001505,548,1,1
121.5,init_48,3.4233953642904478,549,5,5
123.5,init_22,0.818530529079896,553,12,12
122.5,init_38,4.861722261684906,552,7,7
121.5,init_16,5.761543997808426,550,13,13
124.0,init_14,3.9536003108992137,556,12,12
122.0,init_27,1.92929956481405,551,7,7
123.5,init_28,7.134768826147152,554,0,0
124.0,init_5,4.934582941493225,555,3,3
124.5,init_35,1.509016505007831,557,10,10
125.0,init_13,3.1857308778897555,558,5,5
125.5,init_3,3.318357573776702,559,6,6
125.5,init_2,2.159181433708562,561,11,11
126.0,init_18,2.889548324424352,562,10,10
125.5,init_7,3.4266675742366415,560,8,8
126.5,init_27,2.911080379506341,563,12,12
127.5,init_21,10.224734021256774,566,12,12
126.5,init_19,2.2481669300172045,564,11,11
127.5,init_6,3.022892372810313,565,10,10
127.5,init_13,2.824428638295667,567,6,6
128.0,init_10,4.479790571605151,568,11,11
128.0,init_28,4.17390503936224,569,3,3
128.0,init_15,0.96971746020823,570,0,0
128.5,init_23,1.1134227784058308,571,1,1
129.0,init_36,3.7959677537445433,573,7,7
129.0,init_6,0.8408470246386037,572,14,14
129.5,init_35,3.644301973480925,575,6,6
129.5,init_39,3.1027660784389703,574,10,10
129.5,init_5,2.6835767581391563,576,11,11
130.0,init_18,5.581600953986824,577,6,6
130.5,init_20,3.2503952949065487,578,14,14
132.0,init_12,2.9635973949909435,579,5,5
132.0,init_40,1.9713055197326113,580,13,13
132.5,init_21,4.205997085697892,582,12,12
132.5,init_12,4.5743582193032,581,5,5
133.0,init_22,3.448692730609464,583,3,3
133.0,init_48,2.837973494991263,584,7,7
133.5,init_26,3.922250584453984,588,13,13
133.0,init_31,2.306983121809055,585,10,10
133.5,init_4,11.552508158801519,586,0,0
133.5,init_20,2.2026644460646567,587,9,9
134.0,init_5,3.5947657929222836,589,11,11
134.5,init_49,2.3733652673587025,591,9,9
134.0,init_27,2.5262503400816314,590,8,8
134.5,init_26,4.479370297582682,593,10,10
135.0,init_44,5.60295981120267,595,3,3
134.5,init_8,4.166944009381268,592,8,8
135.0,init_40,5.052310122170131,596,11,11
135.0,init_25,4.637009930874676,597,10,10
135.0,init_14,4.541978896217179,594,12,12
135.5,init_35,4.528336824187972,598,1,1
135.5,init_8,4.305122263464931,599,5,5
135.5,init_15,3.712065790252584,600,14,14
136.5,init_3,4.065666600093786,605,2,2
136.0,init_28,7.402125571846556,602,3,3
136.0,init_43,5.775177642117917,603,13,13
137.0,init_6,3.041459505422339,608,11,11
136.0,init_35,3.676273673893385,601,7,7
136.5,init_9,1.9653123834655297,604,6,6
137.0,init_10,4.952497864611152,607,6,6
136.5,init_23,5.324511209055694,606,15,15
137.0,init_5,3.8086605323357388,609,3,3
137.5,init_17,1.0860574208711047,612,0,0
137.0,init_11,1.8623535412223546,610,15,15
137.5,init_25,3.852113529022178,613,8,8
137.0,init_16,4.25019666559367,611,6,6
137.5,init_13,2.733619948518754,614,5,5
139.0,init_19,4.550479982879207,616,11,11
138.0,init_1,2.3509173242076256,615,5,5
139.0,init_2,3.5718045589279415,617,8,8
139.5,init_39,3.2701548214878056,618,13,13
139.5,init_36,2.80879920803652,619,7,7
139.5,init_7,6.597224397004842,620,1,1
140.0,init_45,2.147385829231535,621,12,12
